title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Service history,country
BMW 3 SERIES,1449,57000,1999,2.8075571177504393,Petrol,Saloon,1.9,Automatic,4.0,5.0,Euro 3,Unknown,Germany
FORD FOCUS,1290,119000,2002,4.0,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 3,Unknown,United States
VOLKSWAGEN POLO,1449,111400,2008,4.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4,Unknown,Germany
VAUXHALL CORSA,3295,94000,2014,2.8075571177504393,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 5,Unknown,United Kingdom
HONDA ACCORD,1400,155085,2004,2.0,Petrol,Estate,2.4,Manual,5.0,5.0,Euro 4,full,Japan
VAUXHALL CORSA,1950,93000,2012,4.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5,Unknown,United Kingdom
VAUXHALL CORSA,10698,22782,2020,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
BMW 3 SERIES,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6,Unknown,Germany
FORD FOCUS,2249,99000,2009,2.8075571177504393,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4,Unknown,United States
FORD FOCUS,1390,127000,2008,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,United States
FORD FOCUS,1795,104020,2010,4.0,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4,Unknown,United States
PEUGEOT 207,1699,92000,2009,3.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,France
FORD FIESTA,999,99000,2004,2.8075571177504393,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4,Unknown,United States
VOLKSWAGEN BEETLE,700,101000,2003,5.0,Petrol,Convertible,2.0,Manual,2.0,4.0,Euro 4,Unknown,Germany
VAUXHALL ASTRA,3250,100312,2013,3.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
MG MG6,3245,55000,2012,2.8075571177504393,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
FORD C-MAX,1250,135000,2008,5.0,Petrol,MPV,2.0,Automatic,5.0,5.0,Euro 4,Unknown,United States
HONDA CIVIC,1900,132000,2008,6.0,Petrol,Hatchback,1.8,Automatic,5.0,5.0,Euro 4,Unknown,Japan
VOLKSWAGEN POLO,3495,127000,2015,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6,Unknown,Germany
MINI HATCH,10000,46923,2017,3.0,Petrol,Hatchback,1.5,Manual,3.0,4.0,Euro 6,Unknown,United Kingdom
BMW 3 SERIES,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6,Unknown,Germany
