title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Service history,country
TOYOTA AVENSIS,3785,106250,2008,2.8075571177504393,Petrol,Saloon,1.8,Automatic,4.0,5.0,Euro 4,Unknown,Japan
BMW 1 SERIES,10799,63000,2016,2.0,Petrol,Hatchback,1.5,Manual,3.0,5.0,Euro 6,Unknown,Germany
NISSAN QASHQAI+2,3999,71000,2011,2.0,Diesel,SUV,1.5,Manual,5.0,7.0,Euro 5,Unknown,Japan
PEUGEOT 207,999,111400,2007,2.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,France
FORD FOCUS,8975,86500,2017,2.8075571177504393,Diesel,Hatchback,1.5,Manual,5.0,5.0,Euro 6,Unknown,United States
PEUGEOT 308,9149,55301,2016,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
MINI HATCH,2100,132000,2006,7.0,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 4,Unknown,United Kingdom
NISSAN MICRA,2395,96195,2006,2.8075571177504393,Petrol,Hatchback,1.4,Automatic,5.0,5.0,Euro 4,full,Japan
VOLKSWAGEN GOLF,3750,78656,2007,5.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,Germany
VOLKSWAGEN GOLF,1995,120000,2004,6.0,Petrol,Hatchback,2.0,Manual,3.0,5.0,Euro 4,Unknown,Germany
VOLKSWAGEN BEETLE,1790,72370,2006,3.0,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 4,Unknown,Germany
FORD FOCUS,4950,32331,2014,2.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,full,United States
FORD B-MAX,4990,114850,2015,1.0,Petrol,MPV,1.6,Automatic,5.0,5.0,Euro 5,Unknown,United States
FORD MONDEO,2500,121480,2007,3.0,Petrol,Hatchback,2.3,Automatic,5.0,5.0,Euro 4,Unknown,United States
SEAT IBIZA,2799,99061,2011,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5,Unknown,Spain
PEUGEOT 308,9149,55301,2016,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
FORD FOCUS,8975,86500,2017,2.8075571177504393,Diesel,Hatchback,1.5,Manual,5.0,5.0,Euro 6,Unknown,United States
FORD FOCUS,5500,62037,2014,2.0,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 5,Unknown,United States
CHEVROLET SPARK,2495,45000,2012,4.0,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 5,Unknown,United States
SUZUKI ALTO,2495,64269,2012,2.8075571177504393,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 5,full,Japan
TOYOTA AYGO,2995,39000,2014,5.0,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 5,Unknown,Japan
HONDA CIVIC,2499,83000,2005,5.0,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 3,Unknown,Japan
RENAULT CLIO,5495,74653,2015,3.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,France
FIAT 500,6740,22116,2015,1.0,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 6,Unknown,Italy
LEXUS IS 250,4895,106150,2007,2.8075571177504393,Petrol,Saloon,2.5,Automatic,4.0,5.0,Euro 4,Unknown,Japan
VOLKSWAGEN POLO,3495,127000,2015,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6,Unknown,Germany
MERCEDES-BENZ A CLASS,15900,62402,2019,1.0,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6,Unknown,Germany
FORD FOCUS,8975,86500,2017,2.8075571177504393,Diesel,Hatchback,1.5,Manual,5.0,5.0,Euro 6,Unknown,United States
VAUXHALL ASTRA,3995,75000,2013,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5,full,United Kingdom
PEUGEOT 306,2695,25240,1997,3.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 2,Unknown,France
TOYOTA YARIS,1975,111555,2007,4.0,Petrol,Hatchback,1.8,Manual,3.0,5.0,Euro 4,full,Japan
PEUGEOT 208,5530,58700,2017,2.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,France
FORD FIESTA,2289,120000,2012,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,United States
TOYOTA YARIS,2495,121600,2008,4.0,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 4,full,Japan
VOLKSWAGEN PHAETON,2889,98000,2006,2.8075571177504393,Petrol,Saloon,3.2,Automatic,4.0,5.0,Euro 4,Unknown,Germany
VOLKSWAGEN POLO,3495,127000,2015,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6,Unknown,Germany
FORD FOCUS,8975,86500,2017,2.8075571177504393,Diesel,Hatchback,1.5,Manual,5.0,5.0,Euro 6,Unknown,United States
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
FORD FIESTA,2490,77935,2008,4.0,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 4,Unknown,United States
VOLKSWAGEN BEETLE,2490,84500,2009,2.8075571177504393,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 4,Unknown,Germany
HYUNDAI I30,4995,87000,2013,4.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,Unknown,South Korea
VOLKSWAGEN GOLF,4450,96866,2011,2.0,Diesel,Hatchback,1.6,Automatic,5.0,5.0,Euro 5,full,Germany
LEXUS CT 200H,5950,140000,2011,6.0,Petrol Hybrid,Hatchback,1.8,Automatic,5.0,5.0,Euro 5,Unknown,Japan
VAUXHALL ASTRA GTC,5699,58000,2014,2.8075571177504393,Petrol,Coupe,1.4,Manual,3.0,5.0,Euro 5,full,United Kingdom
HYUNDAI IX35,5490,59858,2012,2.0,Diesel,SUV,1.7,Manual,5.0,5.0,Euro 5,Unknown,South Korea
FIAT 500,6599,55000,2015,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 6,Unknown,Italy
VOLKSWAGEN POLO,5450,75818,2013,4.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,Germany
FORD FIESTA,3230,90400,2012,1.0,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 5,Unknown,United States
VAUXHALL CORSA,1950,93000,2012,4.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5,Unknown,United Kingdom
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
BMW 3 SERIES,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6,Unknown,Germany
KIA SPORTAGE,8490,50000,2014,1.0,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 5,full,South Korea
AUDI A3,6295,82147,2009,2.8075571177504393,Petrol,Hatchback,1.8,Automatic,3.0,5.0,Euro 4,Unknown,Germany
TOYOTA YARIS,4690,30000,2008,1.0,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4,Unknown,Japan
VOLKSWAGEN GOLF,2495,113400,2007,4.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,full,Germany
NISSAN MURANO,4950,118000,2010,2.8075571177504393,Petrol,SUV,3.5,Automatic,5.0,5.0,Euro 4,full,Japan
AUDI A3,2249,125000,2005,3.0,Diesel,Hatchback,2.0,Manual,5.0,5.0,Euro 4,Unknown,Germany
BMW 5 SERIES,7900,113000,2014,3.0,Diesel,Saloon,2.0,Automatic,4.0,5.0,Euro 6,full,Germany
VAUXHALL ASTRA,1975,100570,2005,2.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,United Kingdom
VAUXHALL INSIGNIA,2950,79000,2011,4.0,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
BMW 3 SERIES,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6,Unknown,Germany
MINI HATCH,10000,46923,2017,3.0,Petrol,Hatchback,1.5,Manual,3.0,4.0,Euro 6,Unknown,United Kingdom
TOYOTA RAV4,3495,87738,2006,2.8075571177504393,Petrol,SUV,2.0,Manual,5.0,5.0,Euro 4,Unknown,Japan
VOLKSWAGEN GOLF,3889,74100,2010,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,Unknown,Germany
MINI HATCH,10000,46923,2017,3.0,Petrol,Hatchback,1.5,Manual,3.0,4.0,Euro 6,Unknown,United Kingdom
FORD FIESTA,1480,70000,2004,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,United States
PEUGEOT 208,3995,90000,2012,4.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,France
MINI HATCH,7499,55750,2014,2.0,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 6,Unknown,United Kingdom
SUZUKI SWIFT,2999,103310,2012,3.0,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 5,full,Japan
BMW X5,13999,115000,2013,4.0,Diesel,SUV,3.0,Automatic,5.0,5.0,Euro 6,full,Germany
HONDA CIVIC,5000,93000,2014,2.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,full,Japan
FIAT 500,2395,89701,2009,5.0,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 5,full,Italy
FORD FOCUS,798,140599,2008,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,United States
MINI HATCH,10000,46923,2017,3.0,Petrol,Hatchback,1.5,Manual,3.0,4.0,Euro 6,Unknown,United Kingdom
PEUGEOT 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
FORD FIESTA,3395,92132,2010,5.0,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 4,Unknown,United States
HONDA CIVIC,10000,41579,2016,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 6,Unknown,Japan
HYUNDAI I30,3000,89321,2012,4.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,South Korea
AUDI A3,1350,126085,2003,6.0,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 4,Unknown,Germany
AUDI A3,4950,88000,2010,2.8075571177504393,Diesel,Hatchback,1.6,Automatic,5.0,5.0,Euro 5,Unknown,Germany
VAUXHALL ASTRA,3990,91000,2014,2.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
PEUGEOT 406,3000,67000,1998,5.0,Petrol,Coupe,3.0,Automatic,2.0,4.0,Euro 2,Unknown,France
VAUXHALL ASTRA,3495,107504,2014,3.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
KIA SPORTAGE,4950,104000,2010,1.0,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 5,full,South Korea
VOLKSWAGEN POLO,4490,49411,2007,4.0,Petrol,Hatchback,1.4,Automatic,5.0,5.0,Euro 4,Unknown,Germany
PEUGEOT 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,France
BMW 3 SERIES,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6,Unknown,Germany
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
RENAULT MEGANE,3995,72000,2013,3.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,France
BMW X1,7995,51000,2014,1.0,Diesel,SUV,2.0,Automatic,5.0,5.0,Euro 5,full,Germany
HONDA CIVIC,2300,49376,2006,2.0,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4,Unknown,Japan
MERCEDES-BENZ C CLASS,12000,86000,2016,4.0,Diesel,Saloon,1.6,Automatic,4.0,5.0,Euro 6,Unknown,Germany
BMW X5,3950,125000,2005,2.8075571177504393,Petrol,SUV,4.4,Automatic,5.0,5.0,Euro 3,Unknown,Germany
VOLKSWAGEN GOLF,1949,96000,2001,2.8075571177504393,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 4,Unknown,Germany
BMW 3 SERIES,7200,71026,2012,2.8075571177504393,Diesel,Convertible,2.0,Automatic,2.0,4.0,Euro 5,full,Germany
SKODA OCTAVIA,3495,152544,2014,3.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,Czech Republic
VAUXHALL CORSA,3675,65000,2013,3.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
MG MG3,8198,27649,2019,2.8075571177504393,Petrol,Hatchback,1.5,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
VOLKSWAGEN POLO,2495,149000,2010,1.0,Diesel,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,Germany
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
HONDA CIVIC,9198,78691,2018,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,Japan
FORD FOCUS,5345,67000,2012,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,United States
RENAULT CLIO,2695,79732,2010,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,full,France
JEEP RENEGADE,4500,113200,2015,2.0,Diesel,SUV,1.6,Manual,5.0,5.0,Euro 5,Unknown,United States
FIAT 500,4650,67300,2014,3.0,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 6,Unknown,Italy
NISSAN QASHQAI+2,4495,113000,2010,2.0,Petrol,SUV,1.6,Manual,5.0,7.0,Euro 5,full,Japan
MINI HATCH,3449,55000,2013,2.8075571177504393,Diesel,Hatchback,1.6,Manual,3.0,4.0,Euro 5,Unknown,United Kingdom
RENAULT MEGANE,4000,51100,2014,2.0,Diesel,Coupe,1.5,Manual,3.0,5.0,Euro 5,full,France
FORD FOCUS,4950,100000,2012,4.0,Petrol,Estate,1.6,Automatic,5.0,5.0,Euro 5,full,United States
FIAT 500,6490,14700,2008,2.0,Petrol,Hatchback,1.2,Automatic,3.0,4.0,Euro 6,Unknown,Italy
PEUGEOT 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,France
MINI HATCH,10000,46923,2017,3.0,Petrol,Hatchback,1.5,Manual,3.0,4.0,Euro 6,Unknown,United Kingdom
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
MAZDA MAZDA2,6995,54100,2016,2.0,Petrol,Hatchback,1.5,Manual,5.0,5.0,Euro 6,Unknown,Japan
FORD KA,2795,83655,2012,2.0,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 5,Unknown,United States
PEUGEOT 308,3550,74000,2013,3.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,France
VAUXHALL ASTRA,3500,78000,2015,2.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
VAUXHALL ASTRA,5700,79910,2016,2.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,full,United Kingdom
VAUXHALL CORSA,2950,82471,2011,4.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
TOYOTA AURIS,3295,111695,2011,3.0,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 4,Unknown,Japan
HYUNDAI I20,4999,56700,2013,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,South Korea
RENAULT SCENIC,2500,80000,2010,2.8075571177504393,Diesel,MPV,1.5,Manual,5.0,5.0,Euro 4,Unknown,France
BMW 3 SERIES,6500,64000,2007,8.0,Petrol,Convertible,3.0,Automatic,2.0,4.0,Euro 4,Unknown,Germany
PEUGEOT 207,999,111400,2007,2.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,France
FORD FOCUS,8975,86500,2017,2.8075571177504393,Diesel,Hatchback,1.5,Manual,5.0,5.0,Euro 6,Unknown,United States
BMW 3 SERIES,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6,Unknown,Germany
MAZDA MAZDA3,2350,77000,2008,4.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,full,Japan
FORD FIESTA,4195,111535,2014,1.0,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 5,full,United States
BMW 3 SERIES,7200,71026,2012,2.8075571177504393,Diesel,Convertible,2.0,Automatic,2.0,4.0,Euro 5,full,Germany
LAND ROVER RANGE ROVER EVOQUE,8995,87000,2012,2.8075571177504393,Diesel,SUV,2.2,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
FIAT 500L,3800,64000,2013,2.0,Petrol,MPV,1.4,Manual,5.0,5.0,Euro 6,Unknown,Italy
CHRYSLER GRAND VOYAGER,2950,106000,2006,4.0,Petrol,MPV,3.3,Automatic,5.0,7.0,Euro 3,full,United States
MERCEDES-BENZ CLK,2500,108000,2009,2.0,Petrol,Convertible,3.5,Automatic,2.0,4.0,Euro 4,Unknown,Germany
PEUGEOT 208,4889,52000,2015,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,France
RENAULT CLIO,8495,51878,2018,1.0,Petrol,Hatchback,0.9,Manual,5.0,5.0,Euro 6,Unknown,France
BMW 4 SERIES,12000,55000,2016,2.8075571177504393,Petrol,Coupe,2.0,Automatic,2.0,3.0,Euro 6,full,Germany
VAUXHALL INSIGNIA,2950,79000,2011,4.0,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
BMW 3 SERIES,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6,Unknown,Germany
VAUXHALL CORSA,10698,22782,2020,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
VOLKSWAGEN GOLF PLUS,1789,100000,2007,2.8075571177504393,Diesel,Hatchback,1.9,Manual,5.0,5.0,Euro 4,Unknown,Germany
MINI HATCH,7995,89000,2015,3.0,Petrol,Hatchback,2.0,Automatic,3.0,4.0,Euro 6,Unknown,United Kingdom
NISSAN JUKE,7999,37000,2016,2.8075571177504393,Petrol,SUV,1.2,Manual,5.0,5.0,Euro 6,Unknown,Japan
LAND ROVER RANGE ROVER SPORT,3950,135000,2005,4.0,Petrol,SUV,4.4,Automatic,5.0,5.0,Euro 3,Unknown,United Kingdom
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
HONDA CIVIC,2490,83000,2006,4.0,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4,Unknown,Japan
NISSAN X-TRAIL,5995,108000,2015,1.0,Diesel,SUV,1.6,Manual,5.0,5.0,Euro 5,Unknown,Japan
FORD FOCUS,2399,65700,2007,2.0,Petrol,Estate,1.6,Manual,5.0,5.0,Euro 4,Unknown,United States
HONDA ACCORD,5000,118000,2009,2.8075571177504393,Petrol,Saloon,2.4,Automatic,4.0,5.0,Euro 5,Unknown,Japan
PEUGEOT 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,France
PEUGEOT 308,9149,55301,2016,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
PEUGEOT 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
BMW 1 SERIES,4995,132164,2009,2.8075571177504393,Petrol,Convertible,3.0,Automatic,2.0,4.0,Euro 4,Unknown,Germany
PEUGEOT 107,2300,77230,2008,3.0,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 4,full,France
VAUXHALL ASTRA,1900,126000,2010,2.0,Diesel,Hatchback,1.7,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
RENAULT CAPTUR,6899,70000,2016,2.0,Petrol,SUV,0.9,Manual,5.0,5.0,Euro 6,Unknown,France
DACIA SANDERO,3799,56200,2014,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,Romania
VAUXHALL CORSA,12000,18992,2020,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
VOLKSWAGEN GOLF,2995,99000,2005,5.0,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 4,Unknown,Germany
CITROEN C4 CACTUS,5995,86260,2014,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,France
FORD FOCUS,1799,126000,2009,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,United States
PEUGEOT 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,France
PEUGEOT 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
PEUGEOT 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
FORD GALAXY,6495,68000,2011,2.0,Diesel,MPV,2.0,Automatic,5.0,7.0,Euro 5,Unknown,United States
MERCEDES-BENZ E CLASS,3889,140000,2011,2.8075571177504393,Diesel,Saloon,2.1,Automatic,4.0,5.0,Euro 5,Unknown,Germany
TOYOTA YARIS,2995,69400,2006,2.8075571177504393,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 4,Unknown,Japan
FORD FOCUS,7299,70000,2015,2.0,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 6,Unknown,United States
NISSAN MICRA,3975,65000,2013,2.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,Japan
TOYOTA AYGO,3295,53000,2010,2.8075571177504393,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 5,Unknown,Japan
FORD FIESTA,7999,43000,2018,2.8075571177504393,Petrol,Hatchback,1.1,Manual,5.0,5.0,Euro 6,Unknown,United States
BMW 3 SERIES,2490,81645,2007,8.0,Petrol,Saloon,2.0,Automatic,4.0,5.0,Euro 4,Unknown,Germany
MERCEDES-BENZ C CLASS,4799,67000,2008,2.8075571177504393,Diesel,Saloon,2.1,Automatic,4.0,5.0,Euro 4,full,Germany
RENAULT MEGANE,6990,43200,2015,2.0,Petrol,Convertible,1.2,Manual,2.0,4.0,Euro 5,Unknown,France
VAUXHALL CORSA,1950,93000,2012,4.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5,Unknown,United Kingdom
PEUGEOT 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
PEUGEOT 308,9149,55301,2016,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
TOYOTA AYGO,2275,85000,2009,2.0,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 4,Unknown,Japan
MAZDA MAZDA2,1695,57505,2005,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,Japan
FORD FIESTA,5995,69856,2015,2.0,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6,Unknown,United States
VAUXHALL CORSA,10698,22782,2020,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
FORD C-MAX,2995,90000,2009,7.0,Petrol,MPV,2.0,Automatic,5.0,5.0,Euro 4,Unknown,United States
AUDI A3,6345,86000,2013,2.8075571177504393,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 5,Unknown,Germany
MINI HATCH,8450,101000,2015,3.0,Petrol,Hatchback,2.0,Manual,3.0,4.0,Euro 6,Unknown,United Kingdom
MERCEDES-BENZ C CLASS,2500,85000,2004,2.8075571177504393,Petrol,Saloon,1.8,Manual,4.0,5.0,Euro 3,Unknown,Germany
HONDA JAZZ,2100,65316,2008,7.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,Japan
VAUXHALL CORSA,1950,93000,2012,4.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5,Unknown,United Kingdom
PEUGEOT 308,9149,55301,2016,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
PEUGEOT 308,9149,55301,2016,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
AUDI A5,3500,110350,2009,4.0,Diesel,Coupe,2.0,Manual,2.0,4.0,Euro 5,Unknown,Germany
ALFA ROMEO MITO,1995,81497,2009,3.0,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 5,Unknown,Italy
HONDA ACCORD,4580,99000,2012,2.0,Diesel,Estate,2.2,Automatic,5.0,5.0,Euro 5,Unknown,Japan
HYUNDAI ACCENT,2475,70000,2007,5.0,Petrol,Hatchback,1.4,Automatic,3.0,5.0,Euro 4,Unknown,South Korea
TOYOTA AYGO,2495,74765,2009,2.8075571177504393,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 4,Unknown,Japan
NISSAN MICRA,3095,37000,2003,3.0,Petrol,Hatchback,1.2,Automatic,5.0,5.0,Euro 4,Unknown,Japan
VOLVO S60,2000,108000,2003,2.8075571177504393,Petrol,Saloon,2.0,Automatic,4.0,5.0,Euro 3,Unknown,Sweden
VAUXHALL MOKKA,6999,69000,2015,2.0,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
KIA SOUL,1995,121261,2010,2.0,Diesel,SUV,1.6,Manual,5.0,5.0,Euro 4,full,South Korea
BMW X5,3889,65000,2004,2.8075571177504393,Petrol,SUV,3.0,Automatic,5.0,5.0,Euro 3,Unknown,Germany
SEAT IBIZA,2799,99061,2011,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5,Unknown,Spain
PEUGEOT 308,9149,55301,2016,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
VAUXHALL CORSA,2995,47988,2009,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
MERCEDES-BENZ C CLASS,2299,156000,2008,2.8075571177504393,Diesel,Saloon,2.1,Manual,4.0,5.0,Euro 4,Unknown,Germany
VAUXHALL ASTRA,495,97000,2011,7.0,Diesel,Hatchback,1.7,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
SUBARU IMPREZA,2395,130100,2001,5.0,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 2,Unknown,Japan
FORD FOCUS,1595,81000,2008,7.0,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4,Unknown,United States
VOLKSWAGEN POLO,895,117850,2008,4.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,Germany
